Id,Timestamp,Version,Provider,Collection
5c6fee8287a6c928b9d94983,1550839401,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth
In Slips,26052

Id,hole_size,type,outer_diameter
5c6cad79b337d74f5029f673,8.5,CasingString,5.5


start_timestamp
1550626339
start_timestamp,end_timestamp
1550626339,1550839401


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
1550690456,16471.25,78.2,0,0.1,0,126
1550690658,16512,78.8,0,0.1,0,120
1550690770,16555.7,77.8,0,0.1,0,123
1550690919,16595.05,78.55,0,0.1,0,84
1550691040,16644.1,79.6,0,0.1,0,129
1550691168,16690,75.9,0,0.1,0,132
1550691286,16731,77.6,0,0.1,0,129
1550691485,16776.9,76.75,0,0.1,0,114
1550691599,16818.85,79.05,0,0.1,0,144
1550691712,16860.6,78,0,0.1,0,126
1550691858,16898.9,81.95,0,0.1,0,72
1550692096,16930,80.6,0,0.1,0,90
1550692784,16975.4,78,0,0.1,0,108
1550692907,17021.2,77,0,0.1,0,108
1550693045,17066.5,81,0,0.1,0,78
1550693155,17109.4,76.1,0,0.1,0,126
1550693276,17154.6,73.5,0,0.1,0,138
1550693826,17195.9,79.2,0,0.1,0,126
1550693949,17239.7,74.5,0,0.1,0,138
1550694056,17281,76.7,0,0.1,0,144
1550694162,17329.35,77.9,0,0.1,0,138
1550694270,17373.8,77.5,0,0.1,0,162
1550694377,17424.9,81.8,0,0.1,0,72
1550694512,17454.75,80.55,0,0.1,0,102
1550694697,17496.6,78.8,0,0.1,0,123
1550694811,17541.9,77.6,0,0.1,0,144
1550694922,17579.35,77.3,0,0.1,0,132
1550695032,17622.8,77.25,0,0.1,0,126
1550695147,17661.9,80.75,0,0.1,0,78
1550695262,17707.1,79,0,0.1,0,132
1550695370,17749,77.8,0,0.1,0,135
1550695488,17789.5,77.55,0,0.1,0,144
1550695599,17828.2,78.6,0,0.1,0,84
1550695716,17874.6,78.5,0,0.1,0,150
1550695826,17913.7,77.5,0,0.1,0,120
1550695926,17954.2,79,0,0.1,0,126
1550696037,17995.05,76.7,0,0.1,0,120
1550696150,18036.4,77.5,0,0.1,0,108
1550696309,18087.3,73.3,0,0.1,0,144
1550696411,18126.95,75.4,0,0.1,0,150
1550696518,18173.4,74.8,0,0.1,0,120
1550696622,18215.45,78,0,0.1,0,126
1550696752,18260.7,72.1,0,0.1,0,141
1550696859,18301.7,75.3,0,0.1,0,120
1550696966,18347,75.6,0,0.1,0,150
1550697079,18390.45,74.85,0,0.1,0,114
1550697199,18435.7,75.2,0,0.1,0,129
1550697313,18480,70.85,0,0.1,0,132
1550697439,18525.3,75,0,0.1,0,141
1550697540,18569.9,73.6,0,0.1,0,147
1550697645,18612.5,74.1,0,0.1,0,132
1550697749,18658.2,73.1,0,0.1,0,132
1550697859,18701.9,72,0,0.1,0,156
1550698097,18743.25,74.4,0,0.1,0,126
1550698209,18788.5,70.2,0,0.1,0,138
1550698317,18833.7,74,0,0.1,0,132
1550698424,18876.75,72.1,0,0.1,0,144
1550698528,18918.55,69.7,0,0.1,0,150
1550698646,18965.4,70.9,0,0.1,0,129
1550698757,19007.8,71.4,0,0.1,0,141
1550698863,19054.4,71.1,0,0.1,0,162
1550699008,19098.45,72.7,0,0.1,0,114
1550701357,19142.8,95.3,0,0.1,0,129
1550701469,19188.3,93.15,0,0.1,0,144
1550701578,19230.3,91.2,0.01,0.1,0,150
1550701685,19276.1,90.1,0.01,0.1,0,147
1550701801,19323.5,91.65,0,0.1,0,126
1550701911,19363.3,93.1,0,0.1,0,114
1550702038,19407.8,91.5,0,0.1,0,156
1550702148,19452.15,92.35,0,0.1,0,156
1550702263,19495.5,90.65,0,0.1,0,138
1550702394,19537.35,90.15,0,0.1,0,150
1550702510,19583.45,87.7,0,0.1,0,144
1550702617,19625.3,88.95,0,0.1,0,150
1550702733,19673.45,95.05,0,0.1,0,108
1550702850,19713.8,82.85,0,0.1,0,156
1550702961,19757.6,89,0,0.1,0,138
1550703073,19799.9,90.4,0,0.1,0,141
